country,region,emajrel,commun,bulgex,elecsd,gdp,gee,injud,MXX,reldiv,WSOCDISX,funding
Afghanistan,2,4,1,0.36569052934646606,1,553.300289383064,-1.4546834230422974,0,33,0.00544069753959775,20,7
Albania,1,4,1,0.23653092980384827,1,4094.35883191918,-0.2827554941177368,0,4,0.6362428069114685,0,5
Algeria,3,4,0,0.2846815884113312,1,4463.39467488951,-0.4795415997505188,1,29,0.029739324003458023,9,4
Andorra,0,0,0,NA,1,39627.6635163399,1.5180326700210571,1,0,0.36112573742866516,0,2
Angola,4,14,1,0.37064144015312195,1,3529.05348173757,-1.1178961992263794,0,9,0.12766294181346893,4,3
Argentina,5,0,0,0.22317761182785034,1,10276.2604977053,-0.16279000043869019,0,7,0.1718558818101883,13,5
Armenia,1,1,1,0.23366834223270416,0,3218.38165488465,-0.18384353816509247,0,37,0.12243298441171646,21,3
Australia,0,14,0,0.17378318309783936,1,51874.0804819957,1.7687559127807617,1,2,0.6181805729866028,13,3
Austria,0,0,0,0.1430293768644333,1,46657.0629004957,1.841762661933899,1,13,0.46714699268341064,17,2
Azerbaijan,1,5,1,0.2672271430492401,1,5842.80578358576,-0.8069343566894531,0,24,0.10070064663887024,8,3
Bahamas,5,2,0,0.22818665206432343,1,21921.5590634977,1.0757461786270142,1,5,0.14203760027885437,0,0
Bahrain,3,4,0,0.18752066791057587,0,20722.1038895508,0.4569380283355713,1,16,0.4857807755470276,13,7
Bangladesh,2,4,0,0.29570654034614563,1,757.671757176894,-0.7356325387954712,0,6,0.18291252851486206,14,7
Barbados,5,2,0,0.16755089163780212,1,15905.9123150278,1.4116783142089844,1,0,0.5040499567985535,1,0
Belarus,1,1,1,0.1703711450099945,0,6030.38870666591,-1.114167332649231,0,57,0.6661361455917358,13,3
Belgium,0,0,0,0.1454886645078659,1,44380.2374107585,1.5750259160995483,1,13,0.5100952386856079,25,4
Belize,5,0,0,0.3146747648715973,1,4344.15017661252,-0.4300883710384369,1,1,0.39340171217918396,0,1
Benin,4,10,1,0.34936872124671936,1,757.695907409377,-0.5946885943412781,1,0,0.689960777759552,1,2
Bhutan,2,7,0,0.30847498774528503,0,2178.92138307967,0.5846535563468933,1,24,0.27962812781333923,2,2
Bolivia,5,0,0,0.298026978969574,1,1981.16070450437,-0.5023106932640076,0,5,0.14178134500980377,0,3
Bosnia,1,13,1,0.1568983942270279,1,4611.47029811707,-0.7410703897476196,1,20,0.5407717823982239,24,6
Botswana,4,11,0,0.3216058909893036,1,6346.15620387349,0.4473519027233124,1,1,0.7867441177368164,0,0
Brazil,5,0,0,0.23144526779651642,1,11224.1540829355,-0.035341210663318634,0,5,0.2415478378534317,12,1
Brunei,2,6,0,0.24900797009468079,0,35268.1011703581,0.9018937349319458,1,41,0.6360647082328796,3,7
Bulgaria,1,1,1,0.13735634088516235,1,6843.26328885315,0.11483520269393921,0,30,0.3332624137401581,25,4
Burkina Faso,4,4,0,0.3707900643348694,1,575.446452687734,-0.5688464045524597,0,0,0.5899903774261475,0,0
Burundi,4,0,0,0.3803037405014038,1,231.194325649216,-1.100945234298706,0,0,0.255314439535141,0,0
Cambodia,2,7,1,0.3134192228317261,1,785.692884137286,-0.9429888129234314,0,5,0.27978232502937317,0,5
Cameroon,4,14,0,0.36555618047714233,0,1182.86922701266,-0.8900719285011292,0,0,0.7160118818283081,0,2
Canada,0,14,0,0.16141751408576965,1,47447.4760241936,1.7831940650939941,1,0,0.5999287962913513,13,2
Cape Verde,4,0,0,0.34759077429771423,1,3312.82598480901,-0.015926674008369446,1,0,0.09859853982925415,0,3
Central African Republic,4,14,0,0.34659165143966675,1,446.443449375206,-1.387743353843689,0,2,0.4933425486087799,3,1
Chad,4,12,0,0.38463348150253296,1,896.569734113861,-1.4663022756576538,0,8,0.5611367225646973,1,3
Chile,5,0,0,0.21045483648777008,1,12860.1776447469,1.2725300788879395,1,7,0.21309047937393188,6,3
China,2,11,1,0.2136358618736267,0,4560.5124871009,0.08864868432283401,0,48,0.9186123609542847,3,6
Colombia,5,0,0,0.24949419498443604,1,6250.65504429614,-0.05923837795853615,0,2,0.08396997302770615,3,1
Comoros,4,4,0,0.34929952025413513,1,769.174288260466,-1.743062973022461,1,26,0.032900236546993256,8,1
Congo-Brazzaville,4,14,0,0.327766478061676,1,2737.34236484237,-1.227732539176941,0,0,0.1885145753622055,0,0
Costa Rica,5,0,0,0.24065952003002167,1,8199.41462068027,0.30813685059547424,1,8,0.21893534064292908,1,3
Croatia,1,0,1,0.13971470296382904,1,13505.7458630323,0.6223206520080566,1,11,0.15858204662799835,23,6
Cuba,5,13,1,0.16809599101543427,0,5676.14140269906,-0.3614288866519928,0,38,0.6384868621826172,2,1
"Cyprus, Greek",0,1,0,0.19635061919689178,1,30818.4639574235,1.5318303108215332,1,9,0.45796388387680054,11,4
"Cyprus, Turkish",0,4,0,NA,NA,NA,NA,NA,14,NA,5,2
Czech Republic,1,14,1,0.14400163292884827,1,19764.0155413397,0.905217707157135,1,10,0.9787516593933105,17,9
Denmark,0,2,0,0.15059992671012878,1,58041.4112245601,2.096789598464966,1,9,0.297659695148468,9,6
Djibouti,4,4,0,0.3386804163455963,1,1325.99072352076,-0.9720983505249023,1,0,0.06045614928007126,5,2
Dominican Rep.,5,0,0,0.2775595188140869,1,5451.06695994465,-0.6435438990592957,0,6,0.09651178866624832,1,2
Ecuador,5,0,0,0.27394789457321167,1,4657.3023611471,-0.7165983319282532,1,1,0.08926239609718323,3,2
Egypt,3,4,0,0.29772812128067017,0,2602.47954869567,-0.37058189511299133,0,46,0.20894528925418854,61,7
El Salvador,5,0,0,0.28577762842178345,1,3474.39244489447,0.007417972665280104,0,5,0.2727912962436676,0,1
Equatorial Guinea,4,14,0,0.323255330324173,0,17136.4456757583,-1.6796176433563232,0,1,0.22063449025154114,0,1
Eritrea,4,14,1,0.377399206161499,0,482.1490904235,-1.3571863174438477,0,30,0.5189277529716492,1,0
Estonia,1,14,1,0.15797573328018188,1,14638.6048173457,1.0857006311416626,1,1,0.9156962633132935,0,4
Ethiopia,4,13,1,0.36294758319854736,0,341.309909200504,-0.4322300851345062,0,13,0.48502299189567566,7,1
Fiji,2,14,0,0.2590828537940979,0,3651.96678405546,-0.7242387533187866,0,2,0.4922337830066681,4,1
Finland,0,2,0,0.14742086827754974,1,46202.4151628454,2.229339599609375,1,4,0.3641212284564972,7,5
France,0,0,0,0.1512688398361206,1,40703.3427911985,1.4303009510040283,1,16,0.5609437823295593,29,3
Gabon,4,14,0,0.3236600160598755,1,8754.11337590957,-0.7721486687660217,0,2,0.36993202567100525,0,1
Gambia,4,12,0,0.36332744359970093,1,562.851752662169,-0.6788138747215271,0,1,0.2119048535823822,1,1
Gaza,3,4,0,NA,NA,2338.71987682303,NA,NA,19,NA,16,7
Georgia,1,1,1,0.19367682933807373,1,2964.47703373088,0.30925971269607544,0,28,0.27452313899993896,27,7
Germany,0,14,1,0.13080790638923645,1,41785.556912554,1.571171760559082,1,28,0.5564616918563843,32,8
Ghana,4,14,0,0.33190637826919556,1,1312.60755731025,-0.03788567706942558,1,2,0.5797034502029419,1,4
Greece,0,1,0,0.1293296366930008,1,26917.7589787254,0.5560393333435059,1,21,0.21187208592891693,22,4
Guatemala,5,0,0,0.33646413683891296,1,2825.52406953376,-0.6979950070381165,1,5,0.2440258264541626,2,3
Guinea,4,4,0,0.34750720858573914,1,438.751334569012,-1.1089810132980347,0,0,0.32330164313316345,1,4
Guinea Bissau,4,13,0,0.34647446870803833,1,543.957410843377,-1.0295060873031616,0,0,0.6108920574188232,0,2
Guyana,5,14,0,0.25333431363105774,1,3026.28121165012,-0.10622711479663849,1,3,0.5493692755699158,0,1
Haiti,5,0,0,0.32702407240867615,0,662.279518162433,-1.62920343875885,0,3,0.6265577673912048,7,4
Honduras,5,0,0,0.3361932635307312,1,1932.85828999689,-0.6416873335838318,0,10,0.2287285178899765,1,0
Hungary,1,0,1,0.14616891741752625,1,13025.533794363,0.6666696071624756,1,2,0.6621043682098389,13,8
Iceland,0,2,0,0.18628700077533722,1,41676.4452733744,1.5857315063476563,1,5,0.2162531167268753,1,6
India,2,8,0,0.2747623920440674,1,1345.77015320926,0.025990726426243782,0,28,0.36380377411842346,25,5
Indonesia,2,4,0,0.2418840378522873,1,3113.48063451433,-0.21430516242980957,0,40,0.3628917932510376,21,8
Iran,3,5,0,0.2865690588951111,0,6273.37844112131,-0.47880202531814575,0,71,0.024018611758947372,25,7
Iraq,3,5,0,0.3399527668952942,1,4502.74904825726,-1.1970903873443604,0,16,0.04877084866166115,41,7
Ireland,0,0,0,0.16337572038173676,1,48538.587760468,1.3495880365371704,1,3,0.1894121617078781,1,3
Israel,3,9,0,0.20764735341072083,1,30661.9900386465,1.3915212154388428,1,9,0.5752303004264832,22,8
Italy,0,0,0,0.11509263515472412,1,35849.3736358594,0.4419097304344177,1,10,0.3492642641067505,13,5
Ivory Coast,4,13,0,0.3458190858364105,0,1219.74909551521,-1.285643458366394,0,0,0.6592885255813599,2,5
Jamaica,5,2,0,0.2629985511302948,1,4682.72842390135,0.2153889387845993,1,1,0.5400622487068176,1,1
Japan,2,11,0,0.11672032624483109,1,44507.6763859172,1.5276691913604736,1,3,0.6019081473350525,4,0
Jordan,3,4,0,0.3079567551612854,0,3679.19027463278,0.10368447750806808,0,34,0.11503950506448746,8,8
Kazakhstan,1,13,1,0.2542065680027008,0,9070.64997199985,-0.4361029267311096,0,19,0.4279443025588989,4,1
Kenya,4,14,0,0.36323317885398865,1,967.340077341325,-0.5571087002754211,0,7,0.2878519594669342,4,1
Kosovo,1,4,0,NA,1,3283.2119384317198,-0.5835602879524231,1,6,NA,22,3
Kurdistan (Iraq),3,4,0,NA,NA,NA,NA,NA,10,NA,1,3
Kuwait,3,12,0,0.21416303515434265,1,38497.6169579293,0.16863413155078888,1,34,0.24874310195446014,8,10
Kyrgyzstan,1,4,1,0.3183363080024719,1,880.037775119109,-0.6516974568367004,1,26,0.3306903839111328,7,1
Laos,2,7,1,0.3656236231327057,0,1141.12711507419,-0.8600213527679443,1,57,0.5436384081840515,2,2
Latvia,1,14,1,0.1591011881828308,1,11326.2194746243,0.7088099718093872,1,13,0.555061399936676,3,6
Lebanon,3,12,0,0.26243823766708374,1,8763.82627374951,-0.2792295813560486,0,13,0.5376459956169128,19,1
Lesotho,4,14,0,0.3754437565803528,1,1173.26021199956,-0.312128484249115,1,0,0.192597895860672,0,2
Liberia,4,13,0,0.33564528822898865,1,327.420509735634,-1.2770850658416748,0,0,0.82106781005859375,4,2
Libya,3,4,0,0.2673146724700928,0,12120.5621692062,-1.0972189903259277,0,19,0.06576982885599136,7,4
Liechtenstein,0,0,0,NA,1,141165.082856705,1.7835087776184082,1,5,0.2647325396537781,4,1
Lithuania,1,0,1,0.17121216654777527,1,11984.8685698823,0.7432536482810974,1,13,0.29451361298561096,5,6
Luxembourg,0,0,0,0.14445333182811737,1,104965.306078267,1.7217735052108765,1,2,0.5006791949272156,1,5
Macedonia,1,1,1,0.18322041630744934,1,4542.90410449183,-0.08996538817882538,0,18,0.5107457637786865,3,1
Madagascar,4,13,0,0.35260501503944397,0,412.730934137725,-0.9596365094184875,0,11,0.5793894529342651,2,2
Malawi,4,2,0,0.3896898925304413,1,458.868174427665,-0.41068077087402344,1,7,0.36972901225090027,0,1
Malaysia,2,4,0,0.2783057689666748,1,9071.35698672103,1.1205179691314697,0,40,0.6679441332817078,6,8
Maldives,2,4,0,0.3347320258617401,1,6330.79498041553,-0.20713099837303162,1,66,0.03098350763320923,0,4
Mali,4,4,0,0.3652404248714447,1,708.370763247419,-0.8643363118171692,0,1,0.22932381927967072,0,1
Malta,0,0,0,0.15180449187755585,1,21087.7946931036,1.1927274465560913,1,2,0.11318027973175049,2,2
Mauritania,4,4,0,0.33134642243385315,1,1203.3836748551,-0.9706827998161316,0,22,0.017899014055728912,0,3
Mauritius,4,13,0,0.20469993352890015,1,8000.37643182154,0.8658755421638489,1,2,0.6511982083320618,2,2
Mexico,5,0,0,0.26735126972198486,1,8959.5814158753,0.16242985427379608,0,10,0.17078116536140442,13,1
Moldova,1,1,1,0.21835725009441376,1,1631.53583179532,-0.6626100540161133,0,15,0.03684166818857193,16,3
Mongolia,2,7,1,0.29748061299324036,1,2650.3536590073,-0.5719745755195618,1,8,0.7172925472259521,1,1
Montenegro,1,1,1,0.17184516787528992,1,6682.28115774575,0.09015385806560516,1,7,0.39312711358070374,6,4
Morocco,3,4,0,0.2701554298400879,0,2834.20471989688,-0.1041627898812294,0,32,0.007064302917569876,4,6
Mozambique,4,14,1,0.35705068707466125,0,419.225814942685,-0.582581102848053,0,3,0.6157073974609375,0,0
Myanmar (Burma),2,7,0,0.2526038587093353,0,987.73658320217,-1.6179004907608032,0,49,0.42530709505081177,27,5
Namibia,4,2,0,0.3460911214351654,1,5191.58308141444,0.06611867249011993,1,0,0.16284269094467163,0,0
Nepal,2,8,0,0.311524361371994,1,592.18352164201394,-0.8735454678535461,0,16,0.3277234733104706,6,1
Netherlands,0,14,0,0.1459459662437439,1,50338.2548273725,1.7293659448623657,1,2,0.7937145829200745,14,5
New Zealand,0,2,0,0.1839725375175476,1,33691.3483689734,1.8166981935501099,1,0,0.7649102807044983,1,2
Nicaragua,5,0,0,0.31367355585098267,0,1526.49793806178,-0.9621996879577637,0,2,0.30158063769340515,1,5
Niger,4,12,0,0.34480470418930054,1,348.151510969273,-0.6592782139778137,1,0,0.08794379234313965,0,2
Nigeria,4,4,0,0.34228822588920593,0,2327.32066957391,-1.1651382446289063,0,20,0.5704951286315918,26,3
North Korea,2,11,1,0.20675057172775269,0,NA,-1.86627995967865,0,33,0.9846816658973694,0,3
Norway,0,2,0,0.16019758582115173,1,87646.7534630855,1.8789280652999878,1,12,0.21131260693073273,6,4
Oman,3,4,0,0.2829667925834656,0,19280.7473903632,0.377854585647583,1,22,0.2189488708972931,2,6
Pakistan,2,4,0,0.32928937673568726,0,1040.14226787636,-0.7658588886260986,0,43,0.12431380152702332,50,7
Palestinian Authority (West Bank),3,4,0,0.37559080123901367,NA,NA,-0.36877039074897766,NA,20,0.3371376097202301,25,5
Panama,5,0,0,0.2443552315235138,1,7937.25993090731,0.13722513616085052,0,4,0.22793923318386078,1,2
Papua New Guinea,2,2,0,0.31225207448005676,1,1366.87911154444,-0.7185555696487427,1,0,0.4867655634880066,0,3
Paraguay,5,0,0,0.30813664197921753,1,3225.59175373637,-0.9323817491531372,0,12,0.08792918175458908,0,3
Peru,5,0,0,0.2706795036792755,1,5022.49319096369,-0.19117073714733124,1,8,0.12861159443855286,0,5
Philippines,2,0,0,0.2939228415489197,1,2129.49924222792,0.001555010792799294,0,0,0.13782405853271484,5,4
Poland,1,0,1,0.1657360941171646,1,12599.5248642681,0.6409489512443542,1,5,0.20156365633010864,14,7
Portugal,0,0,0,0.1294073462486267,1,22538.6540773482,1.0102345943450928,1,3,0.20438523590564728,1,4
Qatar,3,4,0,0.16648779809474945,0,70306.2278449301,0.8451837301254272,1,39,0.42866021394729614,2,7
Romania,1,1,1,0.1495099514722824,1,8297.48362072379,-0.26552918553352356,1,23,0.11657597869634628,21,7
Russia,1,1,1,0.17499348521232605,0,10674.987707365,-0.46881139278411865,0,48,0.7853277325630188,27,5
Rwanda,4,0,0,0.3668777346611023,0,563.491048683175,-0.05429290980100632,1,6,0.15923786163330078,0,0
Saudi Arabia,3,4,0,0.2548750042915344,0,19259.5872568465,-0.006922359578311443,0,78,0.15018336474895477,10,11
Senegal,4,12,0,0.36415186524391174,1,1001.63137748259,-0.5799341201782227,0,0,0.17224225401878357,2,6
Serbia (Yugoslavia),1,1,1,0.15988638997077942,1,5411.87740391911,-0.04598620906472206,0,15,0.15257583558559418,7,8
Sierra Leone,4,12,0,0.35297492146492004,1,405.128401768805,-1.2157402038574219,1,0,0.45674431324005127,0,1
Singapore,2,13,0,0.16393020749092102,1,46569.6795060716,2.2414066791534424,0,17,0.822167158126831,0,1
Slovak Republic,1,0,1,0.1689309924840927,1,16600.6135880385,0.83712238073349,0,15,0.4188140630722046,6,9
Slovenia,1,0,1,0.1333818882703781,1,23437.4720211387,1.0264407396316528,1,3,0.32273226976394653,3,6
Solomon Islands,2,2,0,0.32121890783309937,1,1272.44802510598,-0.9544610381126404,1,0,0.047119345515966415,1,3
Somalia,4,4,1,0.3618210554122925,NA,NA,-2.2081170082092285,NA,12,0.004952599760144949,10,0
South Africa,4,14,0,0.29613450169563293,1,7362.76138986481,0.3921408951282501,1,1,0.581499457359314,11,0
South Korea,2,13,0,0.1628863513469696,1,22086.9529193201,1.2046644687652588,1,0,0.8397290110588074,2,1
South Sudan,4,14,0,0.3524423837661743,NA,1562.23934569833,NA,NA,NA,0.5921014547348022,NA,NA
Spain,0,0,0,0.11816041171550751,1,30736.0022781736,0.9947988390922546,1,9,0.46231386065483093,7,4
Sri Lanka,2,7,0,0.21364673972129822,1,2819.51116056146,-0.1950061321258545,0,10,0.47734105587005615,24,4
Sudan,4,4,0,0.33852913975715637,1,1476.47808657841,-1.3437849283218384,0,38,0.48081690073013306,16,5
Suriname,5,14,0,0.24293352663516998,1,8303.31332009764,-0.10371818393468857,1,1,0.6965691447257996,0,2
Swaziland,4,14,0,0.40441232919692993,0,3690.23933600256,-0.5382388234138489,1,1,0.6874030232429504,1,2
Sweden,0,2,0,0.16113902628421783,1,52076.2559134864,2.0042130947113037,1,12,0.5963354110717773,17,7
Switzerland,0,14,0,0.14030896127223969,1,74276.7184159425,1.8763442039489746,1,12,0.4385925829410553,10,3
Syria,3,4,0,0.327894389629364,0,NA,-0.6050934195518494,0,23,0.14055490493774414,6,7
Taiwan,2,11,0,0.16337934136390686,1,NA,1.176270604133606,1,1,0.9231244325637817,2,2
Tajikistan,1,4,1,0.3501455783843994,0,738.347522660006,-0.9184335470199585,0,10,0.08033408969640732,1,3
Tanzania,4,14,0,0.35580819845199585,1,701.604550062032,-0.5974767804145813,0,2,0.5965763926506042,1,2
Thailand,2,7,0,0.1759726107120514,0,5075.30217639529,0.18776057660579681,1,9,0.2358541190624237,6,8
Timor,2,0,0,0.3424293100833893,1,849.862697155979,-1.2244375944137573,1,9,0.26481372117996216,13,2
Togo,4,10,0,0.35350286960601807,1,487.923891266382,-1.3891874551773071,0,6,0.630950391292572,0,1
Trinidad & Tobago,5,0,0,0.20862334966659546,1,16683.9457843568,0.2664880156517029,1,1,0.5603653788566589,0,3
Tunisia,3,4,0,0.24444244801998138,0,4140.1517698059,0.2184256613254547,0,25,0.010614466853439808,4,4
Turkey,3,4,0,0.2385576069355011,1,10672.0569256642,0.294970840215683,1,23,0.03479880839586258,22,4
Turkmenistan,1,4,1,0.30850812792778015,0,4439.20300021757,-1.5635298490524292,0,32,0.10329876840114594,1,4
UAE,3,4,0,0.20112979412078857,0,35049.1483167837,0.8979611396789551,0,27,0.39600279927253723,2,5
UK,0,2,0,0.16204561293125153,1,38709.9116622829,1.5683794021606445,1,9,0.5881373286247253,17,4
USA,0,2,0,0.17512482404708862,1,48373.8788155779,1.5575960874557495,1,4,0.5271754264831543,20,3
Uganda,4,14,0,0.3942956328392029,1,594.997255736371,-0.5250553488731384,0,9,0.27543219923973083,1,0
Ukraine,1,1,1,0.1595725119113922,1,2965.14236549771,-0.7847089767456055,0,10,0.30976518988609314,15,2
Uruguay,5,0,0,0.19778649508953094,1,11938.2120047097,0.6269566416740417,1,0,0.6882142424583435,0,0
Uzbekistan,1,4,1,0.3097085654735565,0,1377.08214046938,-0.7137851119041443,0,44,0.1178327351808548,1,4
Vanuatu,2,2,0,0.31123605370521545,1,2965.80243434839,-0.2723125219345093,1,0,0.2160518616437912,0,1
Venezuala,5,0,0,0.26866772770881653,1,13545.2058384559,-1.111922025680542,0,14,0.14042694866657257,6,5
Vietnam,2,7,1,0.2618957757949829,NA,1333.58352396677,-0.2591377794742584,NA,33,0.9732162952423096,5,0
Western Sahara,3,4,0,0.2521030306816101,NA,NA,NA,NA,32,0.013252287171781063,4,6
Yemen,3,12,1,0.39805230498313904,0,1309.23195973585,-1.017816424369812,0,33,0.018188834190368652,22,5
Zaire (Dem Rep Congo),4,0,1,0.36120980978012085,1,318.075751596552,-1.7356443405151367,0,0,0.09705036878585815,2,1
Zambia,4,2,0,0.3826274871826172,1,1463.21357310715,-0.8508870601654053,0,2,0.3234334886074066,0,0
Zanzibar,4,4,0,NA,NA,NA,NA,NA,3,NA,14,2
Zimbabwe,4,14,0,0.39692407846450806,0,713.603506154235,-1.5119861364364624,0,3,0.6467534303665161,2,3
